gene	E14_ES_fpkm	E14_flk_fpkm	E14_HE1_fpkm	E14_HE2_fpkm	E14_prog_fpkm	Sp1hyp_ES_fpkm	Sp1hyp_Flk_fpkm	Sp1hyp_HE1_fpkm	Sp1hyp_HE2_fpkm	Sp1hyp_prog_fpkm
Guca1a	0.927136817	0.839580867	0.082831033	0.0003658	0.000715	0	0	0.001723592	0.00155065	0.007057617
Guca2a	0	0.3839148	0.807346283	0.633927567	0.9797334	0	0.428254933	0.668265083	0.6114086	0.817589
Gucd1	4.153557	11.99421358	12.90012403	12.6796224	15.1985356	7.4953926	17.8504219	17.39420362	18.53054482	22.19771475
Gucy1a2	0.414387283	1.4053206	1.45764715	0.9094402	0.5538632	0.549756933	2.2478014	2.574271483	1.5993469	0.966896117
Gucy1a3	0.01796345	0.24980195	0.7608322	13.49943208	22.09970903	0	0.215440667	0.912710683	11.45664385	25.20582752
Gucy1b3	0.247766183	0.837188817	5.94199045	7.508421833	9.5470009	0.048134983	0.5264467	5.397365217	10.03391832	14.98273902
Guf1	10.41632577	16.69410218	4.751735717	7.6632013	9.889684783	10.13154723	15.57551575	7.270746367	10.65586603	11.19111568
Guk1	52.05857713	46.63987645	28.38028458	35.9496404	31.54951398	47.98795803	45.07090843	23.91372165	27.06147815	27.48262072
Gulo	1.062279383	0.8490847	0.032847592	0.0003658	0.000715	0.930053667	0.024393633	0.001723592	0.00155065	0.007057617
Gulp1	0.791322367	5.050232183	6.1490466	4.3053439	4.895455733	0.6480997	6.255714683	7.60391005	6.490290633	7.514879933
Gusb	9.765348567	13.17437538	17.01903868	23.15568133	24.02282545	6.200575183	9.811251083	11.49609402	13.91050288	15.72903337
Gvin1	0	0.014935967	0.595962133	0.85710905	0.780890717	0.02545605	0.012267217	0.721645633	0.314413783	0.332085617
Gxylt1	7.561913317	10.18633957	12.66941677	8.584850217	7.8402771	8.79505135	9.78740545	11.30784422	8.4551719	6.852893533
Gxylt2	0.045722317	0.2657947	0.569045167	1.194558617	0.787662233	0.10213455	0.27868345	1.215437567	1.516523	1.587255167
Gyg	5.470212517	25.1286578	39.3476691	43.02390722	37.06805123	5.693610733	22.21319085	45.41763203	37.2266834	40.23823652
Gypa	0.01264035	0.096232367	0.237688167	2.066184417	30.18553767	0	0	0.056070233	1.948974433	37.36496978
Gypc	0.111310917	2.369539033	7.72596135	28.48233687	61.70602147	0.14962595	4.175976583	8.090003883	29.2150808	71.08542893
Gys1	9.070513367	13.17513932	7.8326653	8.123486533	8.168612117	10.62327722	13.08383605	8.765049917	10.1173727	9.2630698
Gzf1	10.75670323	16.0909768	9.016639217	11.51864147	11.22476593	10.067542	17.05800493	11.96915462	15.76552945	16.20399677
Gzmm	0.90450385	1.594413717	3.083311583	2.970511883	4.926091467	1.237967567	1.560229733	2.65069225	3.099312133	3.631863667
H13	13.7276246	18.04543505	21.4823657	16.48714952	15.02450447	14.72132757	20.51723158	17.62193837	15.53784317	14.96854573
H19	3.223201533	62.20524803	540.7581009	278.9682399	45.54323788	3.988676417	8.746705467	28.96261787	13.5890099	2.262187617
