gene,Sp1hyp_ES_fpkm,Sp1hyp_Flk_fpkm,Sp1hyp_HE1_fpkm,Sp1hyp_HE2_fpkm,Sp1hyp_prog_fpkm
Rhox10,0.935590867,0,0.001723592,0.00155065,0.007057617
Rhox13,4.463420683,0,0.110303392,0.056493283,0.007057617
Rhox5,327.8744588,27.60523998,68.91814125,60.70512857,52.14830158
Rhox6,7.434636583,0,0.001723592,0.00155065,0.007057617
Rhox9,5.7351064,0,0.001723592,0.00155065,0.007057617
Rhpn1,0.691579717,1.486628883,0.473909483,0.439757867,0.007057617
Rhpn2,22.5650377,8.527432567,1.9262159,0.695656783,0.66151935
Rian,39.51872032,48.88421667,21.61638822,6.766445633,2.192809033
Ribc1,3.984411567,4.5993147,1.2725512,1.814500567,3.088747067
Ric1,13.14899633,22.58734488,24.28205963,18.62652347,11.33651992
Ric3,3.988370967,5.42029885,2.492224983,3.325661833,4.104536133
Ric8a,12.08727165,15.83852892,20.57295228,13.5802001,12.39950818
Ric8b,6.66184955,6.955728967,9.758474033,10.40087503,10.97437937
Rictor,17.10594357,16.28606498,13.28207298,15.58047385,18.2147861
Rida,22.00942025,24.680087,24.28696985,50.38144967,66.8995423
Rif1,181.0642072,61.3600829,33.43380908,46.57940372,50.93188505
Rilp,0.032621233,0.087269483,0.5278258,0.344381417,0.247757875
Rilpl1,8.208576883,11.4594686,15.31071883,6.695171517,2.876774183
Rilpl2,4.117729667,4.774048067,4.524344183,5.48062215,5.5306124
Rimbp2,0.900572583,0.080295433,0.001723592,0.00155065,0.062717208
Rimbp3,1.235849017,0.135672883,0.071225283,0.130247067,0.873295017
Rimkla,1.757025867,0.383468367,0.064815375,0.078028033,0.075997025
Rimklb,7.925755467,8.6287786,0.44055665,0.58999095,1.092139033
Rims1,1.493877017,0.049948083,0.001723592,0.00155065,0.007057617
Rims2,4.78183925,4.172439017,2.8129424,0.69109885,0.260555667
Rims3,2.88586165,1.036849583,0.001723592,0.00155065,0.075201758
Rims4,0.6942499,0,0.001723592,0.00155065,0.007057617
Rin1,1.652037067,0.2529782,9.247602233,3.15304935,2.09321795
Rin2,2.202614067,3.67130315,6.524767733,3.810583367,1.050072683
Rin3,0.224066683,2.334749,9.91058905,8.03748905,7.561665733
Ring1,4.388809267,6.057601867,2.3678442,3.34393955,4.079047017
Rinl,10.84211747,0.1403156,0.8316122,1.0815102,1.139537117
Rint1,7.455646717,8.652927417,11.40938125,10.03248388,12.8360226
Riok1,16.62744942,20.63707093,16.55953865,20.204628,22.13122625
Riok2,34.09835015,23.4782022,15.00545853,17.62192512,18.90036653
Riok3,28.87165528,28.73522225,32.22256663,29.56707967,33.22684327
Riox1,12.59316892,12.28850302,7.857400033,9.501496283,10.63883302
Riox2,11.08657607,4.593570417,3.456150167,3.487819817,5.931694167
Ripk1,0.99008565,0.632253117,3.387083183,3.306394883,3.72389365
Ripk2,11.54009725,13.64342223,20.1204023,6.762942033,5.0628214
Ripk3,3.9172626,4.82518955,5.18777245,2.982455233,2.37404935
Ripk4,6.4667001,3.8522428,0.084209667,0.0352767,0.067265358
Ripply1,6.834404333,0.27017095,0.452292633,0.127279333,0.007057617
Ripply3,0.173490433,0.593087683,1.389360717,0.577678717,0.201199175
Rit1,2.007073917,3.0749273,4.326822217,3.912079367,4.566463583
Rita1,12.1722687,5.3238983,3.765943417,4.507823083,3.542398833
Rlbp1,5.351794917,0.037614117,0.104180475,0.129995133,0.084979658
Rlf,26.99634717,36.85574387,19.29596008,20.80857342,26.64320062
Rlim,72.8071973,62.22907815,72.46865815,54.99918048,57.61647915
Rln3,3.162411633,0,0.001723592,0.00155065,0.007057617
Rmdn1,1.348096467,4.436458433,3.318989983,4.35615475,6.030001483
Rmdn2,2.186952133,1.810120917,1.8858319,2.67683375,3.87369445
Rmdn3,16.89785153,20.47374978,21.19037858,25.13061022,36.79325972
Rmi1,9.828536467,7.482470383,4.507250567,5.331547233,5.922749083
Rmi2,2.09625055,4.303843933,2.91804085,3.5839917,3.599861717
Rmnd1,17.02059817,13.83404128,11.88813275,15.42505107,16.11492982
Rmnd5a,37.74753632,41.31405137,30.87580312,35.41473078,34.86471398
Rmnd5b,38.98524113,6.86871725,12.9097695,12.91258947,13.25866
Rmrp,4629.902724,5094.050301,7243.6211,7707.768677,7243.6211
Rn4.5s,36.2531896,10.25640615,22.219093,24.98493568,20.5572968
Rn45s,12779.06797,11550.27751,6053.930815,7707.768677,4879.412528
Rnase4,1.172943983,2.620382717,0.462162217,0.162494383,0.108612592
Rnaseh1,15.40308245,12.32401258,8.561773083,10.56845497,10.29875678
Rnaseh2a,53.23119838,42.40314663,36.37812252,45.01716222,62.44274662
Rnaseh2b,29.3811305,19.68842357,16.45718333,19.16967652,24.96664407
Rnaseh2c,16.29720635,15.56466068,16.57265223,23.14221783,31.38823748
Rnasek,14.54111327,7.823943917,26.96795983,22.79344347,14.56719193
