gene,E14_ES_fpkm,E14_flk_fpkm,E14_HE1_fpkm,E14_HE2_fpkm,E14_prog_fpkm
Cpsf1,28.55579902,42.70297557,23.54610378,31.24437953,35.54419575
Cpsf2,33.68568493,29.57760028,26.77571267,35.27590008,42.47409785
Cpsf3,46.46595127,60.7341125,30.22663815,40.68363048,46.14385942
Cpsf4,27.06567125,24.03106272,14.91371958,18.71686355,22.3943181
Cpsf4l,18.7885849,0.625502383,0.592757567,0.588393183,0.70085835
Cpsf6,36.8736907,48.97805432,21.88151505,30.08261238,31.29854633
Cpsf7,26.10569065,26.61273282,16.77946513,17.48480752,24.3409597
Cpt1a,11.27838457,0.057127267,3.48762015,3.731745783,5.306109483
Cpt1b,1.145892017,6.56913395,1.245209583,1.04937735,0.297638133
Cpt1c,9.326973183,11.60599317,15.9049767,8.30096925,4.668635333
Cpt2,6.4715332,13.27936518,10.27089993,12.95377732,18.08863227
Cptp,3.966328967,3.793405933,5.699459333,5.719616917,5.106172083
Cpxm1,6.3527196,7.89663865,15.88213745,9.140133717,8.27625015
Cpxm2,0.0819313,1.54003885,0.05824425,0.0003658,0.000715
Cr1l,14.3868587,10.56142795,26.78123085,31.74460635,25.23655263
Crabp1,10.24444513,19.63822178,0.000444875,0.0003658,0.000715
Crabp2,6.816036017,6.207259217,0.563668583,0.8196658,0.622996667
Cracr2a,0.18202255,0.725400517,0.071750642,0.489294633,1.83329315
Cracr2b,0.778685017,0.447467717,9.7261397,3.545462417,1.74208815
Cradd,8.324563767,3.32818115,2.972829583,3.793415417,2.984096833
Cramp1l,8.10373415,11.63960952,12.48080957,9.976456017,11.79509033
Crat,2.416982683,2.338098083,6.0147638,5.5520625,7.377787833
Crb2,0.121205333,35.24690077,4.893180433,1.260441583,1.222586533
Crb3,4.470825033,0.1642566,0.022346842,0.0003658,0.000715
Crbn,9.789147117,10.90643453,10.57010778,11.48840725,10.10733448
Crcp,17.83359523,9.90280515,10.9456398,12.44164805,14.47254425
Crct1,0.631404383,0,0.000444875,0.0003658,0.000715
Creb1,11.68038427,18.50876452,10.68348702,12.29853418,11.60267
Creb3,7.33843395,10.3567409,35.29774685,14.99806995,11.26123742
Creb3l1,1.049289133,2.352748417,10.96244277,3.09048985,4.042604517
Creb3l2,1.33253325,3.3207775,59.44550727,19.29899703,4.4090552
Creb3l3,0.343957233,0.292132367,0.118361517,0.091242867,0.171976867
Creb3l4,1.705706,1.632158083,0.854422567,0.850852267,0.609446767
Creb5,0.0443655,0.022286383,1.785702133,0.906658367,0.45919215
Crebbp,21.98255557,30.46023145,28.18035972,24.0774339,26.9513011
Crebl2,2.213134,1.46598585,1.451867583,1.454811067,1.585217383
Crebrf,10.31832145,6.72291755,5.7515102,5.575427,4.668255367
Crebzf,9.295867633,12.50369818,6.951194517,6.191037433,12.6013025
Creg1,3.074026983,4.247105317,23.57403672,32.43053577,43.00664158
Creld1,4.282028033,1.678660167,5.0666017,6.160102,5.400823667
Creld2,32.2291994,9.93986035,33.4500231,22.50202028,17.37595358
Crem,3.221148833,2.5251965,7.8160118,7.062223767,7.666513817
Crim1,0.953927917,1.59656385,20.53707313,6.4197011,5.183903917
Crip1,43.32493625,11.12106993,120.2036979,50.5021692,18.59054987
Crip2,16.31176067,9.244262717,118.5104688,47.22112055,10.06871848
Cript,27.3028678,23.2467539,24.15042793,25.47165892,21.2234537
Crisp3,0,0,0.000444875,0.0003658,0.756159158
Crispld1,0.88570185,7.67409645,0.565804883,0.187766883,0.0436623
Crispld2,1.404886,0.090577067,4.030329483,0.722911717,0.782984667
Crk,26.77067282,32.28793298,43.45679813,37.21364958,31.48254488
Crkl,24.9772751,23.56698003,19.08239268,19.53105135,19.38152158
Crlf1,1.04887665,1.654398017,0.115285967,0.151361167,0.270606417
Crlf2,0.305748833,1.081108633,3.043351133,2.2349372,2.493221233
Crlf3,44.67119918,34.4672924,43.70885803,76.82102427,73.44416587
Crls1,15.12533038,19.23910042,8.67518635,9.0064876,11.80760552
Crmp1,21.13906417,2.061310033,18.65402583,5.873449067,1.899301967
Crnde,0.972397683,0.5234738,0.297361383,0.670816167,0.8252123
Crnkl1,32.88584775,17.34058478,18.18034237,23.10206908,23.74717957
Crocc,4.479884533,6.166118683,2.023035567,1.657747867,2.077395367
Crocc2,0.594012033,0.033205117,0.011182825,0.0003658,0.000715
Crot,15.41959012,28.65587743,12.86531667,14.90415573,14.05465433
Crtac1,0.74271035,0,0.000444875,0.0003658,0.0968873
Crtam,0,0,0.431291917,0.7126725,1.20000595
Crtap,20.11244213,9.847566783,29.60126798,23.24521638,16.52309727
Crtc1,1.1348769,1.508945033,2.68586725,3.522736633,5.399942467
Crtc2,5.090791017,4.851383283,8.026916317,7.84157225,8.154668083
Crtc3,0.0448014,2.206377633,6.174717283,5.96591155,6.162963233
Crxos,2.582959,0,0.000444875,0.0003658,0.000715
Cry1,15.19086452,9.5267213,4.858003267,5.756678083,8.334233683
Cry2,5.7790152,5.617746483,5.03689715,5.371508967,8.581867133
Cryaa,0.006602767,0,0.48581965,0.1334863,0.091959975
Cryab,1.457487517,0,54.03075308,15.1290353,10.21295477
Cryba1,2.5513639,1.0037666,1.039679283,1.304749033,1.209314067
Cryba4,0.007989058,0,0.000444875,0.0003658,0.484560508
Crybg3,10.18121145,4.886509783,8.969974283,3.73919605,2.812330533
Crygb,0,0,0.000444875,0.0003658,0.000715
Cryl1,4.308071383,2.460914567,0.918905383,2.625858083,2.81525115
Crym,3.297595533,3.530800233,0.41034105,0.108540233,0.130244875
Cryz,10.20009698,11.56931875,3.616096583,7.8335706,8.3927597
Cryzl1,9.491915017,12.22491243,12.90466748,10.62003827,8.835179167
Cs,96.64774502,67.9313452,100.5076627,97.18931372,105.1657614
Csad,11.42549795,7.084745933,6.245233067,5.068846267,4.5911742
Csdc2,1.1922023,0.60567865,0.5775431,0.285881517,0.394238117
Csde1,177.3646464,160.961409,136.6637922,154.2689174,182.5505646
Cse1l,114.0389082,96.91985475,47.51609622,73.82547193,75.87780737
Csf1,1.29556875,0.72444845,27.5722586,7.086947767,5.005780683
Csf1r,0.01102915,0.1553373,0.274819933,0.595463967,2.62576445
Csf2ra,0.95246955,1.795678117,0.7991058,0.863246083,1.825294567
Csf2rb,0.00081545,0.020657967,1.934124933,6.098094617,26.35125478
Csf2rb2,0,0.007763417,0.7359701,1.412419683,5.06147235
Csf3r,0.006864417,0,0.011987342,2.63235945,4.422067367
Csgalnact1,0.035068983,2.17570125,14.36002238,20.99455543,7.7687469
Csgalnact2,3.355704117,3.503901317,3.27537665,6.391106917,18.45124552
Csk,8.915962733,16.93351882,19.97179307,16.6491934,25.09799405
Csl,0.117715917,0.055471317,0.134743217,0.10022125,0.680018683
